Framework,Reference,Requirement,Element ID,Element,Counts towards Covers,Source,Note
TCFD,TCFD Governance A,Describe the board’s oversight of climate-related risks and opportunities.,E1,"Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues",Yes,TCFD Governance A1,
TCFD,TCFD Governance A,Describe the board’s oversight of climate-related risks and opportunities.,E2,"Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organization’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures.",Yes,TCFD Governance A1,
TCFD,TCFD Governance A,Describe the board’s oversight of climate-related risks and opportunities.,E3,How the board monitors and oversees progress against goals and targets for addressing climate-related issues.,Yes,TCFD Governance A1,
TCFD,TCFD Governance B,Describe management’s role in assessing and managing climate-related risks and opportunities.,E1,"Whether the organization has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues.",Yes,TCFD Governance B1,
TCFD,TCFD Governance B,Describe management’s role in assessing and managing climate-related risks and opportunities.,E2,A description of the associated organizational structure(s),Yes,TCFD Governance B1,
TCFD,TCFD Governance B,Describe management’s role in assessing and managing climate-related risks and opportunities.,E3,Processes by which management is informed about climate-related issues.,Yes,TCFD Governance B1,
TCFD,TCFD Governance B,Describe management’s role in assessing and managing climate-related risks and opportunities.,E4,How management (through specific positions and/or management committees) monitors climate-related issues.,Yes,TCFD Governance B1,
TCFD,TCFD Strategy A,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",E1,"A description of what they consider to be the relevant short-, medium-, and longterm time horizons, taking into consideration the useful life of the organization’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms",Yes,TCFD Strategy A1,
TCFD,TCFD Strategy A,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",E2,"A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organization.",Yes,TCFD Strategy A1,
TCFD,TCFD Strategy A,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",E3,A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organization.,Yes,TCFD Strategy A1,
